user_id,product_id,rating,timestamp
U5,P26,3,23-10-2023 16:35
U35,P113,5,02-10-2023 13:37
U28,P104,2,07-10-2023 13:37
U49,P127,1,01-10-2023 15:44
U18,P99,3,19-10-2023 15:32
U20,P36,5,27-10-2023 12:25
U10,P122,1,05-10-2023 18:00
U7,P142,4,21-10-2023 21:39
U43,P196,5,09-10-2023 18:23
U23,P1,5,13-10-2023 12:53
U34,P5,4,25-10-2023 19:16
U33,P126,4,07-10-2023 15:57
U30,P24,1,13-10-2023 11:41
U2,P170,5,15-10-2023 10:28
U40,P160,3,31-10-2023 20:42
U13,P200,4,25-10-2023 16:13
U7,P83,4,04-10-2023 10:24
U29,P67,5,04-10-2023 21:59
U4,P113,2,07-10-2023 13:48
U39,P128,4,24-10-2023 21:19
U11,P3,2,23-10-2023 20:13
U11,P41,2,19-10-2023 23:19
U44,P57,5,15-10-2023 10:41
U17,P159,3,08-10-2023 19:56
U8,P62,5,27-10-2023 14:13
U46,P102,4,01-10-2023 14:00
U1,P65,2,27-10-2023 12:55
U43,P2,2,07-10-2023 17:46
U8,P138,4,24-10-2023 15:29
U7,P69,1,20-10-2023 22:10
U13,P145,1,16-10-2023 17:35
U9,P124,4,10-10-2023 22:42
U34,P6,3,31-10-2023 13:04
U2,P36,5,04-10-2023 10:54
U1,P67,1,20-10-2023 10:54
U40,P68,5,31-10-2023 14:59
U12,P135,3,10-10-2023 17:24
U17,P184,5,19-10-2023 12:06
U9,P160,4,12-10-2023 13:41
U3,P130,1,14-10-2023 21:56
U38,P97,1,03-10-2023 14:26
U27,P126,2,01-10-2023 14:49
U38,P179,5,29-10-2023 11:19
U24,P108,1,09-10-2023 17:59
U39,P68,2,29-10-2023 22:58
U26,P157,2,04-10-2023 20:47
U6,P83,1,26-10-2023 10:56
U26,P149,1,30-10-2023 17:11
U48,P168,4,04-10-2023 11:46
U3,P60,2,15-10-2023 23:56
U40,P145,3,23-10-2023 18:17
U44,P64,2,01-10-2023 21:36
U27,P108,5,03-10-2023 21:44
U23,P42,4,07-10-2023 11:25
U49,P138,1,13-10-2023 10:02
U4,P160,1,14-10-2023 23:29
U24,P178,3,06-10-2023 10:36
U21,P71,1,02-10-2023 20:04
U35,P194,5,29-10-2023 14:45
U25,P57,3,24-10-2023 17:12
U46,P7,5,09-10-2023 10:42
U4,P197,5,31-10-2023 23:12
U5,P126,1,23-10-2023 17:51
U31,P169,2,21-10-2023 10:55
U4,P115,5,27-10-2023 23:27
U14,P78,5,31-10-2023 21:31
U32,P120,2,08-10-2023 21:54
U28,P173,4,02-10-2023 14:23
U17,P151,3,20-10-2023 15:29
U50,P142,2,16-10-2023 18:10
U27,P63,5,22-10-2023 15:46
U23,P7,4,18-10-2023 12:20
U31,P83,4,21-10-2023 15:26
U5,P100,4,19-10-2023 16:23
U36,P48,4,12-10-2023 22:18
U43,P91,2,27-10-2023 20:48
U33,P191,5,16-10-2023 20:34
U39,P44,1,12-10-2023 16:05
U37,P61,5,09-10-2023 12:21
U11,P23,2,12-10-2023 20:29
U23,P157,1,25-10-2023 18:55
U12,P156,2,06-10-2023 10:21
U17,P183,1,30-10-2023 23:40
U23,P89,2,20-10-2023 15:34
U21,P5,3,27-10-2023 21:10
